project_slug,buggy_commit_id,last_fix_commit_id
DSpace__DSpace_CVE-2016-10726_4.4,4de01c44482bc7ef0840bc148def041f9a734dbe,4239abd2dd2ae0dedd7edc95a5c9f264fdcf639d
perwendel__spark_CVE-2018-9159_2.7.1,99d7ddc4636b47892e0190ca170b6ecec70dec2f,030e9d00125cbd1ad759668f85488aba1019c668
perwendel__spark_CVE-2016-9177_2.5.1,c57e572f95de5752c5bf8e1e5de764aa50e4a0f6,efcb46c710e3f56805b9257a63d1306882f4faf9
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,62583a78a850ba3fb182dda9b5ed35d99e016960,9ff55ed2da845a6f604b2edd1bc3bd311f1b776c
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,3fcb0036dc11f22ea232f61cfff31b29a6b6eca4,57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b
apache__camel_CVE-2018-8041_2.20.3,845847383df824d0ac06777c99321bfc55076ef8,4580e4d6c65cfd544c1791c824b5819477c583cc
dromara__hutool_CVE-2018-17297_4.1.11,949dd9bbb59e13a67e1fd6b296ccee1425ca2ba5,994a7a49bffec80400264065ed7e3f265a7d9dc9
apache__tika_CVE-2018-11762_1.18,525889a4f928d1d448c6aaf6b1ddc19081e07404,5c78eb78893fa077a4e58be4484eab4717667d52
square__retrofit_CVE-2018-1000850_2.4.0,5088b0df6f2c52fcead426dafbb04214225e0cc7,b9a7f6ad72073ddd40254c0058710e87a073047d
apache__jspwiki_CVE-2019-0225_2.11.0.M2,f140a2a4371735ad24d04a1d78c6e1d9ceaed76f,88d89d6523802c044cfcb7930cba40d8eeb21da2
apache__camel_CVE-2019-0194_2.21.4,2b0be4194ebc878641f7286b5381eb21511ca42f,5b64969d37cf2906efd4623cfd473041ce5132fd
asf__tapestry-5_CVE-2019-0207_5.4.4,cdcf49c0a2b36ffc7a004d54405bb4357870c4b2,6dd7219fd4707467a36091e2f7f5f6460c619099
spring-cloud__spring-cloud-config_CVE-2020-5410_2.1.8.RELEASE,8c43d358d45431d3fb5d4eddd25f6d8196b05654,03eaadc25323d8c8c89f528e8585033ed90c50f6
spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE,4d6cf75452612ee05cb95c8fcb935a19b5ce7bf1,651f458919c40ef9a5e93e7d76bf98575910fad0
apache__rocketmq_CVE-2019-17572_4.6.0,3d778ef625d6fd975ac710973b0fdfe4e58f7936,f8f6fbe4aa7f5dee937e688322628c366b12a552
joniles__mpxj_CVE-2020-35460_8.3.4,1eed5f01ac8e49b433e0538bdc079caeda7d6fd7,8eaf4225048ea5ba7e59ef4556dab2098fcc4a1d
apache__flink_CVE-2020-17519_1.11.2,7fed9f0243aaf80d0060f075b95ba46b3207c8a8,b561010b0ee741543c3953306037f00d7a9f0801
kubernetes-client__java_CVE-2020-8570_client-java-parent-9.0.1,eb0f07895e2c9cc2581a74ae06a0da537d14a02c,858316ae8bc1145005a0310e1f65f95d2389a589
asf__commons-io_CVE-2021-29425_2.6,f5de47f2fda3bb8a3fd2daf06b431282f40e3fa8,fe7543eee5cd4b2f9e78aa44c31031b68eba204d
asf__karaf_CVE-2022-22932_4.3.5,72e63a93f860efdd24034131c2a32218051f0260,36a2bc4
asf__james-project_CVE-2022-22931_3.6.0,7e2f40a7231933feb0d6e18999d7493d12d2fd13,8f9512637d374ccdf84d61617a2878557bf07532
vert-x3__vertx-web_CVE-2019-17640_3.9.3,03902fbb6d09c3c1e1c5b0626f2294300872af86,b12f7c4c6576a8adc3f683b2899de4b0e7d099e4
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,657c2a751c0b8dbd70b8da1bba246d86f7ad3b20,a0d67b75593878b1b6e39e2acc1773b3effedb2a
xwiki__xwiki-commons_CVE-2022-24897_12.6.6,75aadf3257c57c6ab62f7441b66f3cf3abddfdde,215951cfb0f808d0bf5b1097c9e7d1e503449ab8
srikanth-lingala__zip4j_CVE-2018-1002202_1.3.2,65db4eec6ccd450ff0c630bf0ff372254655c6b3,3f15884e338fd2490bb9ee710cf0828aca55d285
apache__myfaces_CVE-2011-4367_2.0.11,32f9315aa2a2c0f25d6aed7c1af85bf40efa7ccf,b9b2e00bb53d3eb435256c5a140b83f7d6251b55
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,1f44172ba94c4cb9d20b97a79e63001163d37f51,28f244e63f558ba99a197813cfd5eee461b52b4c
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,c5418506af1fe3a4f5d18752e272e783a46386f8,c106ca919aa343b95cca0ffff0a0b5dc20b2baf7
codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5,97c0d97504632a2a80b7d847bccdd9b37d27aea1,f8f4233508193b70df33759ae9dc6154d69c2ea8
zeroturnaround__zt-zip_CVE-2018-1002201_1.12,d1c40776d2ff18550d95db2609d3d154692dea93,759b72f33bc8f4d69f84f09fcb7f010ad45d6fff
whitesource__curekit_CVE-2022-23082_1.1.3,d6ac3c382cb9d0b7a9f164eb3db1811d51f47c7c,af35e870ed09411d2f1fae6db1b04598cd1a31b6
aws__aws-sdk-java_CVE-2022-31159_1.12.260,685134e62738c81362ef1cb4686b29583c15a582,cb66c50c885566d9a7fce837a68dc48ddced8a9a
jlangch__venice_CVE-2022-36007_1.10.16,c109778c75c56d553395eea74da81ef33e840e95,215ae91bb964013b0a2d70718a692832d561ae0a
DSpace__DSpace_CVE-2022-31195_5.10,73cdff26fdc40bb022e21dcfdeefebf28057cde7,56e76049185bbd87c994128a9d77735ad7af0199
payara__Payara_CVE-2022-37422_5.2022.2,a2e3ef2cd140e0db9996b78b13cd5b7b80075ca0,6490d4918c65ba6df8344424cb9b8ab583d90b1a
DSpace__DSpace_CVE-2022-31194_5.10,c89e493e517b424dea6175caba54e91d3847fc3a,d1dd7d23329ef055069759df15cfa200c8e3
diffplug__goomph_CVE-2022-26049_3.37.1,fe2083196f0d0a75885aea402baaa972254173d5,25f04f67ba62d9a14104bee13a0a0f2517afb8c8
apache__dolphinscheduler_CVE-2022-26884_2.0.5,adc223465b5b83a9446dfc809ae98cf4bbfaadce,9717da6c255414eaef1c9ac943b0eb8989c1a85d
apache__dolphinscheduler_CVE-2022-34662_2.0.9,7a4a21d0b1832fe173bfa371af9bf7baeddbb036,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd
testng-team__testng_CVE-2022-4065_7.5,1b978d4216f22a2efe037bb37fd5c7d5cb5ab629,9150736cd2c123a6a3b60e6193630859f9f0422b
apache__uima-uimaj_CVE-2022-32287_3.3.0,a13bdf64f46b56117ca7056abbadba4888875fc9,1088f615154b385dd163965b8d2ef78e87111ab1
keycloak__keycloak_CVE-2022-3782_20.0.1,10813dbbff026ccfab48090b1abf26f13cbfa81a,da8d61616399d5c4e4c470c16dd6b0bd98f2b656
eclipse-ee4j__glassfish_CVE-2022-2712_6.2.5,877da9d05c4f2a0c90b3c243832b528c4ccefc28,6982a7ca7e7fb9f02276dc12ab61832daf4002bd
hapifhir__org.hl7.fhir.core_CVE-2023-24057_5.6.91,b5da39ffe896e4ce5ea83ad96e1145bb909bb3d9,b50aec59124416b7315a49220cfc3999223414cc
hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105,f49eee623b638792209087326ac233de277c37d4,909f7e64fea6532a00b3eb8904bf620fc3cae6d1
Graylog2__graylog2-server_CVE-2023-41044_5.1.2,ff90f3e2aa4ae2e0bb613d3236e52c40aa154b20,02b8792e6f4b829f0c1d87fcbf2d58b73458b938
apache__mina-sshd_CVE-2023-35887_2.9.2,237a9ba4e289f59f52cebab8e999b164a4b446fa,c20739b43aab0f7bf2ccad982a6cb37b9d5a8a0b
apache__shiro_CVE-2023-34478_1.11.0,2eac0dca4371c2717a71d3a6e8311435bdc7ad5c,c3ede3f94efb442acb0795714a022c2c121d1da0
codehaus-plexus__plexus-archiver_CVE-2023-37460_4.7.1,18a64852036bd6f0ebc880eb16563d8f08b0bc37,54759839fbdf85caf8442076f001d5fd64e0dcb2
codehaus-plexus__plexus-utils_CVE-2022-4244_3.0.23,f933e5e78dc2637e485447ed821fe14904f110de,33a2853df8185b4519b1b8bfae284f03392618ef
yamcs__yamcs_CVE-2023-45278_5.8.6,0b757628656776c195bd9ed3c399038e7bef9a10,b6db35e432e62fdff0447cf513369f0b8a848abf
yamcs__yamcs_CVE-2023-45277_5.8.6,0b757628656776c195bd9ed3c399038e7bef9a10,b6db35e432e62fdff0447cf513369f0b8a848abf
apache__shiro_CVE-2023-46749_1.12.0,44a2d87abfdaea1df9aebaea01007cd143d12c4c,8400d08d5eac0bc4fae99d28c5adc82dd8a86eda
apache__sling-org-apache-sling-servlets-resolver_CVE-2024-23673_2.10.0,31034b02287fbd1988689d50993eb62b0ea5432f,b54d4e6693e0bcd63a97a0328f4f065b8a81b75e
x-stream__xstream_CVE-2013-7285_1.4.6,64533f1fe2ece82398a1478edc2d30478fb7cd11,6344867dce6767af7d0fe34fb393271a6456672d
x-stream__xstream_CVE-2020-26217_1.4.14-java7,573fbafb06859ecb3a836bd6fe2afacfc5cdabcc,0fec095d534126931c99fd38e9c6d41f5c685c1a
x-stream__xstream_CVE-2021-21345_1.4.15,d3c679a2cca689a0113c3bf011a74ad79b85c4f3,d5e51177634afea7213b9dc2d21f101d2e258db9
jenkinsci__docker-commons-plugin_CVE-2022-20617_1.17,7078a70448719715ae2c91b6a7fd718de76cf5a2,c069b79c31c5aa80a01b0c462f0dc6b41751f059
jenkinsci__workflow-cps-plugin_CVE-2022-25173_2646.v6ed3b5b01ff1,886676efdd711e126307ec70a539f2fe613151f9,f7ae7b75a457976853539bff1db52373b85fdb85
